0:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [0, [0.25065759948733163, 0.3470936852607738, 0.06681943353357467, 0.5022943616765764, 0.3549210042350825], [D@66ec44cb]
1:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [1, [0.6630903720716159, 0.3165193939593932, 0.5395673140115534, 0.5624543169059607, 0.5904942622532151], [D@2198a037]
2:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [2, [0.5424063366017324, 0.5514338674963549, 0.03076519263193589, 0.3249204614029426, 0.38212767367073], [D@76d88aa2]
3:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [3, [0.3243401306676289, 0.5440235015392779, 0.5001509528931625, 0.48977948869330157, 0.20542987584978745], [D@6a5c2445]
4:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [4, [0.10467374374943117, 0.32467640052089786, 0.06544012593546655, 0.5494025593909031, 0.43114607830619606], [D@47516490]
5:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [5, [0.17095248884525327, 0.35847890473453564, 0.5733169857555518, 0.29077149833532606, 0.2538485958716912], [D@30a14e84]
6:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [6, [0.7156974253466476, 0.448186290974887, 0.08864408356746495, 0.6124689979855157, 0.6697079010220213], [D@2e29d50d]
7:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [7, [0.6281852842118696, 0.5550798156429169, 0.038516267597622, 0.2253281695204491, 0.49316760272426874], [D@3c626028]
8:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [8, [0.584090429835529, 0.42922653461497695, 0.5870285931968914, 0.380394385994861, 0.5041155436007632], [D@20e5f01b]
9:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [9, [0.5120082912989183, 0.3473386618245428, 0.5018432849671456, 0.6559345385265762, 0.4821715182199253], [D@66176ccc]
10:source: CALCULATE_THE_CDFS:2, stream: default, id: {}, [10, [0.07293727841341452, 0.4115458466976386, 0.06139103845468441, 0.34570822563720305, 0.6488731376100346], [D@2c006d98]
