0:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-2268056366192213374=-3851706116052119116}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
1:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-7082145910899439532}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
2:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=9102459598764296337}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
3:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-2384861269143906227}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
4:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=71904876207187680}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
5:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-2507340543587910827}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
6:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-6970031873189928046}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
7:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=4978356101728465765}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
8:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-184581044429681202}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
9:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-537788271935557635}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
10:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=1569675244067886304}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
11:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-3104526297847998156}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
12:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-7143138316040578191}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
13:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=6497098808026888208}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
14:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-6844442344550200840}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
15:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=1916381661454733335}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
16:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-168111162111716240}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
17:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=1361111098484489766}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
18:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-1942956735063742645}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
19:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=6631950415635935360}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
20:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-969314732823089242}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
21:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=5708055710220192809}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
22:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=6027012548744852157}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
23:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-3723669559795772555}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
24:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=171795916193917088}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
25:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=2391672749720134107}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
26:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=8836489955580038694}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
27:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=4012913380133261582}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
28:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-1210792403132014046}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
